,Name,Address,Tel,Fax,Email,Schedule
0,Schutzengel-Apotheke,"Hauptstraße 34
2491 Neufeld an der Leitha",+43-2624-52312,+43-2624-52312-6,neufeld@schutzengel-apo.at,"{'Montag:': '8:00 - 12:00, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:00, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:00, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:00, 14:30 - 18:00', 'Freitag:': '8:00 - 12:00, 14:30 - 18:00', 'Samstag:': '8:00 - 12:00'}"
1,Burgenland-Apotheke,"Rathausplatz 6
7011 Siegendorf",+43-2687-48277,+43-2687-48277-73,info@apotheke-siegendorf.at,"{'Montag:': '7:30 - 18:00', 'Dienstag:': '7:30 - 18:00', 'Mittwoch:': '7:30 - 18:00', 'Donnerstag:': '7:30 - 18:00', 'Freitag:': '7:30 - 18:30', 'Samstag:': '7:30 - 12:00 '}"
2,Schlangen-Apotheke,"Wiener Straße 29
7053 Hornstein",+43-2689-2209,+43-2689-2209-4,schlangenapotheke@gmx.at,"{'Montag:': '8:00 - 12:00, 14:00 - 18:00', 'Dienstag:': '8:00 - 12:00, 14:00 - 18:00', 'Mittwoch:': '8:00 - 12:00, 14:00 - 18:00', 'Donnerstag:': '8:00 - 12:00', 'Freitag:': '8:00 - 12:00, 14:00 - 18:00', 'Samstag:': '8:00 - 12:00'}"
3,Römer-Apotheke,"Hauptstrasse 84
7062 St. Margarethen",+43-2680-21115,+43-2680-21115-30,info@r%C3%B6mer-apotheke.at,"{'Montag:': '7:30 - 18:00', 'Dienstag:': '7:30 - 18:00', 'Mittwoch:': '7:30 - 18:00', 'Donnerstag:': '7:30 - 18:00', 'Freitag:': '7:30 - 18:00', 'Samstag:': '7:30 - 12:00'}"
4,Die Ruster Apotheke,"Oggauer Straße 22
7071 Rust",+43-2685-259,+43-2685-204-29,info@rusterapo.at,"{'Montag:': '8:00 - 12:00, 14:00 - 18:00', 'Dienstag:': '8:00 - 12:00, 14:00 - 18:00', 'Mittwoch:': '8:00 - 12:00, 14:00 - 18:00', 'Donnerstag:': '8:00 - 12:00, 14:00 - 18:00', 'Freitag:': '8:00 - 12:00, 14:00 - 18:00', 'Samstag:': '8:00 - 12:00'}"
5,Schutzengel-Apotheke,"Neusiedler Strasse 16
7082 Donnerskirchen",+43-2683-8542,+43-2683-8542-4,bencic@bfk.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}"
6,Schutzengel-Filialapotheke,"Hauptgasse 13
7083 Purbach",+43-2683-2020,+43-2683-2203,bencic@bkf.at,"{'Montag:': '8:30 - 12:00, 15:00 - 18:00', 'Dienstag:': '8:30 - 12:00, 15:00 - 18:00', 'Mittwoch:': '8:30 - 12:00, 15:00 - 18:00', 'Donnerstag:': '8:30 - 12:00, 15:00 - 18:00', 'Freitag:': '8:30 - 12:00, 15:00 - 18:00', 'Samstag:': '8:00 - 12:00'}"
7,Apotheke der Barmherzigen Brüder Zum Granatapfel,"Esterhazystraße 26
7000 Eisenstadt",+43-2682-62178-1500,+43-2682-601-1599,apotheke@bbeisen.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}"
8,Marien-Apotheke,"Hauptstraße 56
7000 Eisenstadt",+43-2682-63870,+43-2682-63870-13,info@marienapo.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}"
9,Salvator-Apotheke,"Hauptstraße 4
7000 Eisenstadt",+43-2682-62654,+43-2682-62654-72,salvatorapotheke@remedia.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}"
